num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double; 8977.53440; 1465.71990;    0.73257;   6576668672;   1073741824;         4;         4;       24
      double; 9266.56499; 1140.50031;    0.94147;   8724152320;   1073741824;         4;         4;       32
      double; 9350.74134;  923.53001;    1.16265;  10871635968;   1073741824;         4;         4;       40
      double; 9413.58184;  776.37788;    1.38301;  13019119616;   1073741824;         4;         4;       48
      double; 9454.31858;  669.33229;    1.60420;  15166603264;   1073741824;         4;         4;       56
      double; 9474.55357;  587.56921;    1.82743;  17314086912;   1073741824;         4;         4;       64
      double; 9544.25768;  297.09752;    3.61411;  34493956096;   1073741824;         4;         4;      128
      double; 9603.89741;  199.56150;    5.38051;  51673825280;   1073741824;         4;         4;      192
      double; 9591.72867;  149.57861;    7.17844;  68853694464;   1073741824;         4;         4;      256
      double; 9631.70498;   75.17428;   14.28337; 137573171200;   1073741824;         4;         4;      512
      double;  186.87197; 1494.97579;    0.71823;    134217728;   1073741824;         4;         8;        0
      double;  561.09591; 1496.25575;    0.71762;    402653184;   1073741824;         4;         8;        1
      double;  934.35987; 1494.97579;    0.71823;    671088640;   1073741824;         4;         8;        2
      double; 1306.61352; 1493.27259;    0.71905;    939524096;   1073741824;         4;         8;        3
      double; 1680.41028; 1493.69803;    0.71885;   1207959552;   1073741824;         4;         8;        4
      double; 2053.83479; 1493.69803;    0.71885;   1476395008;   1073741824;         4;         8;        5
      double; 2427.25929; 1493.69803;    0.71885;   1744830464;   1073741824;         4;         8;        6
      double; 2795.10946; 1490.72505;    0.72028;   2013265920;   1073741824;         4;         8;        7
      double; 3166.89027; 1490.30130;    0.72049;   2281701376;   1073741824;         4;         8;        8
      double; 3541.47896; 1491.14903;    0.72008;   2550136832;   1073741824;         4;         8;        9
      double; 3909.81815; 1489.45453;    0.72090;   2818572288;   1073741824;         4;         8;       10
      double; 4282.18178; 1489.45453;    0.72090;   3087007744;   1073741824;         4;         8;       11
      double; 4653.22347; 1489.03151;    0.72110;   3355443200;   1073741824;         4;         8;       12
