   Precision;   [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
 Ac<3, i, s>;17831.67422;  367.66339;    0.73011;  13019119616;    268435456;         1;         8;       48
 Ac<3, i, s>;18035.96659;  319.22065;    0.84091;  15166603264;    268435456;         1;         8;       56
 Ac<3, i, s>;18200.52583;  282.17870;    0.95130;  17314086912;    268435456;         1;         8;       64
 Ac<3, i, s>;18829.23643;  146.53102;    1.83194;  34493956096;    268435456;         1;         8;      128
 Ac<3, i, s>;19201.94834;   99.75038;    2.69107;  51673825280;    268435456;         1;         8;      192
 Ac<3, i, s>;19173.06455;   74.74879;    3.59117;  68853694464;    268435456;         1;         8;      256
 Ac<3, i, s>;19286.91581;   37.63301;    7.13298; 137573171200;    268435456;         1;         8;      512
 Ac<3, i, s>;  635.65471; 1271.30942;    0.21115;    134217728;    268435456;         4;         8;        0
 Ac<3, i, s>; 1910.67057; 1273.78038;    0.21074;    402653184;    268435456;         4;         8;        1
 Ac<3, i, s>; 3193.76214; 1277.50486;    0.21012;    671088640;    268435456;         4;         8;        2
 Ac<3, i, s>; 4479.99995; 1279.99999;    0.20972;    939524096;    268435456;         4;         8;        3
 Ac<3, i, s>; 5793.94895; 1287.54421;    0.20849;   1207959552;    268435456;         4;         8;        4
 Ac<3, i, s>; 7088.45623; 1288.81022;    0.20828;   1476395008;    268435456;         4;         8;        5
 Ac<3, i, s>; 8385.51173; 1290.07873;    0.20808;   1744830464;    268435456;         4;         8;        6
 Ac<3, i, s>; 9675.59046; 1290.07873;    0.20808;   2013265920;    268435456;         4;         8;        7
 Ac<3, i, s>;10976.47273; 1291.34973;    0.20787;   2281701376;    268435456;         4;         8;        8
 Ac<3, i, s>;12148.13635; 1278.75120;    0.20992;   2550136832;    268435456;         4;         8;        9
 Ac<3, i, s>;13310.01914; 1267.62087;    0.21176;   2818572288;    268435456;         4;         8;       10
 Ac<3, i, s>;14314.60569; 1244.74832;    0.21565;   3087007744;    268435456;         4;         8;       11
 Ac<3, i, s>;15044.99544; 1203.59964;    0.22303;   3355443200;    268435456;         4;         8;       12
 Ac<3, i, s>;15467.41247; 1145.73426;    0.23429;   3623878656;    268435456;         4;         8;       13
 Ac<3, i, s>;15732.98030; 1085.03312;    0.24740;   3892314112;    268435456;         4;         8;       14
 Ac<3, i, s>;16022.20756; 1033.69081;    0.25969;   4160749568;    268435456;         4;         8;       15
 Ac<3, i, s>;16359.21300;  991.46745;    0.27075;   4429185024;    268435456;         4;         8;       16
 Ac<3, i, s>;17538.30720;  715.84927;    0.37499;   6576668672;    268435456;         4;         8;       24
 Ac<3, i, s>;18073.14345;  556.09672;    0.48271;   8724152320;    268435456;         4;         8;       32
 Ac<3, i, s>;18330.16617;  452.59670;    0.59310;  10871635968;    268435456;         4;         8;       40
 Ac<3, i, s>;18614.91014;  383.81258;    0.69939;  13019119616;    268435456;         4;         8;       48
 Ac<3, i, s>;18710.37904;  331.15715;    0.81060;  15166603264;    268435456;         4;         8;       56
 Ac<3, i, s>;18845.61703;  292.18011;    0.91873;  17314086912;    268435456;         4;         8;       64
 Ac<3, i, s>;19044.26995;  148.20444;    1.81125;  34493956096;    268435456;         4;         8;      128
 Ac<3, i, s>;19137.86368;   99.41747;    2.70008;  51673825280;    268435456;         4;         8;      192
 Ac<3, i, s>;19070.83063;   74.35022;    3.61042;  68853694464;    268435456;         4;         8;      256
 Ac<3, i, s>;19227.84513;   37.51775;    7.15489; 137573171200;    268435456;         4;         8;      512
