   Precision;   [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
 Ac<3, d, d>; 5786.43128; 1493.27259;    0.71905;   4160749568;   1073741824;         1;         8;       15
 Ac<3, d, d>; 6154.49064; 1491.99773;    0.71967;   4429185024;   1073741824;         1;         8;       16
 Ac<3, d, d>; 9107.38495; 1486.91999;    0.72212;   6576668672;   1073741824;         1;         8;       24
 Ac<3, d, d>; 9466.31127; 1165.08446;    0.92160;   8724152320;   1073741824;         1;         8;       32
 Ac<3, d, d>; 9514.99554;  939.75265;    1.14258;  10871635968;   1073741824;         1;         8;       40
 Ac<3, d, d>; 9546.46634;  787.33743;    1.36376;  13019119616;   1073741824;         1;         8;       48
 Ac<3, d, d>; 9555.57134;  676.50063;    1.58720;  15166603264;   1073741824;         1;         8;       56
 Ac<3, d, d>; 9580.85195;  594.16136;    1.80716;  17314086912;   1073741824;         1;         8;       64
 Ac<3, d, d>; 9649.79478;  300.38272;    3.57458;  34493956096;   1073741824;         1;         8;      128
 Ac<3, d, d>; 9666.44687;  200.86123;    5.34569;  51673825280;   1073741824;         1;         8;      192
 Ac<3, d, d>; 9664.24286;  150.70944;    7.12458;  68853694464;   1073741824;         1;         8;      256
 Ac<3, d, d>; 9691.31787;   75.63955;   14.19551; 137573171200;   1073741824;         1;         8;      512
 Ac<3, d, d>;  186.81870; 1494.54963;    0.71844;    134217728;   1073741824;         4;         8;        0
 Ac<3, d, d>;  560.29639; 1494.12371;    0.71864;    402653184;   1073741824;         4;         8;        1
 Ac<3, d, d>;  934.62638; 1495.40220;    0.71803;    671088640;   1073741824;         4;         8;        2
 Ac<3, d, d>; 1306.98577; 1493.69803;    0.71885;    939524096;   1073741824;         4;         8;        3
 Ac<3, d, d>; 1680.88917; 1494.12371;    0.71864;   1207959552;   1073741824;         4;         8;        4
 Ac<3, d, d>; 2054.42010; 1494.12371;    0.71864;   1476395008;   1073741824;         4;         8;        5
 Ac<3, d, d>; 2426.56796; 1493.27259;    0.71905;   1744830464;   1073741824;         4;         8;        6
 Ac<3, d, d>; 2796.69987; 1491.57326;    0.71987;   2013265920;   1073741824;         4;         8;        7
 Ac<3, d, d>; 3170.49518; 1491.99773;    0.71967;   2281701376;   1073741824;         4;         8;        8
 Ac<3, d, d>; 3543.49461; 1491.99773;    0.71967;   2550136832;   1073741824;         4;         8;        9
 Ac<3, d, d>; 3918.72441; 1492.84739;    0.71926;   2818572288;   1073741824;         4;         8;       10
 Ac<3, d, d>; 4284.61624; 1490.30130;    0.72049;   3087007744;   1073741824;         4;         8;       11
