   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;   98.78259;  790.26075;    1.35872;    134217728;   1073741824;         4;         8;        0;  134217728
      double;  279.84496;  746.25322;    1.43884;    402653184;   1073741824;         4;         8;        1;  134217728
      double;  468.47316;  749.55705;    1.43250;    671088640;   1073741824;         4;         8;        2;  134217728
      double;  830.14018;  737.90238;    1.45513;   1207959552;   1073741824;         4;         8;        4;  134217728
      double; 1616.56986;  760.73876;    1.41145;   2281701376;   1073741824;         4;         8;        8;  134217728
      double; 2987.76638;  724.30700;    1.48244;   4429185024;   1073741824;         4;         8;       16;  134217728
      double; 3213.29115;  395.48199;    2.71502;   8724152320;   1073741824;         4;         8;       32;  134217728
      double; 3331.13363;  206.58193;    5.19766;  17314086912;   1073741824;         4;         8;       64;  134217728
      double; 3376.53983;  105.10630;   10.21577;  34493956096;   1073741824;         4;         8;      128;  134217728
      double; 3400.77644;   53.03355;   20.24646;  68853694464;   1073741824;         4;         8;      256;  134217728
      double; 3410.48662;   26.61843;   40.33828; 137573171200;   1073741824;         4;         8;      512;  134217728
 Ac<3, d, d>;   58.03260;  464.26083;    2.31280;    134217728;   1073741824;         4;         8;        0;  134217728
 Ac<3, d, d>;  173.31566;  462.17510;    2.32324;    402653184;   1073741824;         4;         8;        1;  134217728
 Ac<3, d, d>;  280.78339;  449.25342;    2.39006;    671088640;   1073741824;         4;         8;        2;  134217728
 Ac<3, d, d>;  482.60704;  428.98403;    2.50299;   1207959552;   1073741824;         4;         8;        4;  134217728
 Ac<3, d, d>;  857.04567;  403.31561;    2.66229;   2281701376;   1073741824;         4;         8;        8;  134217728
 Ac<3, d, d>; 1453.03101;  352.24994;    3.04824;   4429185024;   1073741824;         4;         8;       16;  134217728
 Ac<3, d, d>; 2180.18278;  268.33019;    4.00157;   8724152320;   1073741824;         4;         8;       32;  134217728
 Ac<3, d, d>; 2681.51248;  166.29535;    6.45684;  17314086912;   1073741824;         4;         8;       64;  134217728
 Ac<3, d, d>; 3124.50292;   97.26079;   11.03982;  34493956096;   1073741824;         4;         8;      128;  134217728
 Ac<3, d, d>; 3276.73442;   51.09917;   21.01290;  68853694464;   1073741824;         4;         8;      256;  134217728
 Ac<3, d, d>; 3373.31887;   26.32834;   40.78274; 137573171200;   1073741824;         4;         8;      512;  134217728
 Ac<3, d, f>;   59.23254;  236.93016;    2.26595;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, d, f>;  172.20719;  229.60959;    2.33819;    402653184;    536870912;         4;         8;        1;  134217728
 Ac<3, d, f>;  288.33644;  230.66915;    2.32745;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, d, f>;  481.31577;  213.91812;    2.50970;   1207959552;    536870912;         4;         8;        4;  134217728
 Ac<3, d, f>;  854.64887;  201.09385;    2.66975;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, d, f>; 1452.52679;  176.06385;    3.04930;   4429185024;    536870912;         4;         8;       16;  134217728
 Ac<3, d, f>; 2163.03682;  133.10996;    4.03329;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, d, f>; 2685.23243;   83.26302;    6.44789;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, d, f>; 3062.09026;   47.65899;   11.26484;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, d, f>; 3274.87475;   25.53509;   21.02483;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, d, f>; 3366.59434;   13.13793;   40.86420; 137573171200;    536870912;         4;         8;      512;  134217728
       float;  180.50357;  722.01430;    0.74357;    134217728;    536870912;         4;         8;        0;  134217728
       float;  586.88853;  782.51804;    0.68608;    402653184;    536870912;         4;         8;        1;  134217728
       float;  981.27210;  785.01768;    0.68390;    671088640;    536870912;         4;         8;        2;  134217728
       float; 1751.89129;  778.61835;    0.68952;   1207959552;    536870912;         4;         8;        4;  134217728
       float; 3291.63010;  774.50120;    0.69318;   2281701376;    536870912;         4;         8;        8;  134217728
       float; 6256.07176;  758.31173;    0.70798;   4429185024;    536870912;         4;         8;       16;  134217728
       float;11265.13961;  693.23936;    0.77444;   8724152320;    536870912;         4;         8;       32;  134217728
       float;12565.16904;  389.61764;    1.37794;  17314086912;    536870912;         4;         8;       64;  134217728
       float;12910.54284;  200.94230;    2.67177;  34493956096;    536870912;         4;         8;      128;  134217728
       float;13021.84778;  101.53488;    5.28755;  68853694464;    536870912;         4;         8;      256;  134217728
       float;13286.47062;   51.84964;   10.35438; 137573171200;    536870912;         4;         8;      512;  134217728
 Ac<3, f, f>;   81.97367;  327.89466;    1.63733;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, f, f>;  242.91365;  323.88487;    1.65760;    402653184;    536870912;         4;         8;        1;  134217728
 Ac<3, f, f>;  405.58872;  324.47097;    1.65460;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, f, f>;  723.91227;  321.73879;    1.66865;   1207959552;    536870912;         4;         8;        4;  134217728
 Ac<3, f, f>; 1319.65557;  310.50719;    1.72901;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, f, f>; 2462.39245;  298.47181;    1.79873;   4429185024;    536870912;         4;         8;       16;  134217728
 Ac<3, f, f>; 4369.70483;  268.90491;    1.99651;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, f, f>; 6667.34398;  206.73935;    2.59685;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, f, f>; 9428.79792;  146.75172;    3.65836;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, f, f>;11018.74389;   85.91613;    6.24878;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, f, f>;12133.11824;   47.34875;   11.33865; 137573171200;    536870912;         4;         8;      512;  134217728
