   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  115.57890;  924.63116;    2.32253;    268435456;   2147483648;         1;         8;        0;  268435456
      double;  347.30463;  926.14568;    2.31873;    805306368;   2147483648;         1;         8;        1;  268435456
      double;  577.79993;  924.47989;    2.32291;   1342177280;   2147483648;         1;         8;        2;  268435456
      double;  809.72689;  925.40216;    2.32060;   1879048192;   2147483648;         1;         8;        3;  268435456
      double; 1041.53125;  925.80555;    2.31958;   2415919104;   2147483648;         1;         8;        4;  268435456
      double; 1204.79210;  876.21244;    2.45087;   2952790016;   2147483648;         1;         8;        5;  268435456
      double; 1415.59267;  871.13395;    2.46516;   3489660928;   2147483648;         1;         8;        6;  268435456
      double; 1731.69725;  923.57186;    2.32519;   4026531840;   2147483648;         1;         8;        7;  268435456
      double; 1861.57005;  876.03297;    2.45137;   4563402752;   2147483648;         1;         8;        8;  268435456
      double; 2051.81541;  863.92228;    2.48574;   5100273664;   2147483648;         1;         8;        9;  268435456
      double; 2251.57873;  857.74428;    2.50364;   5637144576;   2147483648;         1;         8;       10;  268435456
      double; 2431.68258;  845.80264;    2.53899;   6174015488;   2147483648;         1;         8;       11;  268435456
      double; 2601.91134;  832.61163;    2.57921;   6710886400;   2147483648;         1;         8;       12;  268435456
      double; 2757.75464;  817.11249;    2.62814;   7247757312;   2147483648;         1;         8;       13;  268435456
      double; 2895.17190;  798.66811;    2.68883;   7784628224;   2147483648;         1;         8;       14;  268435456
      double; 3088.08351;  796.92478;    2.69471;   8321499136;   2147483648;         1;         8;       15;  268435456
      double; 2983.48913;  723.27009;    2.96913;   8858370048;   2147483648;         1;         8;       16;  268435456
      double; 3189.92277;  520.80372;    4.12340;  13153337344;   2147483648;         1;         8;       24;  268435456
      double; 3257.89374;  400.97154;    5.35570;  17448304640;   2147483648;         1;         8;       32;  268435456
      double; 3295.65953;  325.49724;    6.59755;  21743271936;   2147483648;         1;         8;       40;  268435456
      double; 3255.53066;  268.49737;    7.99816;  26038239232;   2147483648;         1;         8;       48;  268435456
      double; 3341.02298;  236.53260;    9.07902;  30333206528;   2147483648;         1;         8;       56;  268435456
      double; 3355.53353;  208.09510;   10.31972;  34628173824;   2147483648;         1;         8;       64;  268435456
      double; 3403.33144;  105.94028;   20.27070;  68987912192;   2147483648;         1;         8;      128;  268435456
      double; 3415.92874;   70.98034;   30.25463; 103347650560;   2147483648;         1;         8;      192;  268435456
      double; 3435.93655;   53.58186;   40.07856; 137707388928;   2147483648;         1;         8;      256;  268435456
