num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double;  141.24138; 1129.93103;    0.95027;    134217728;   1073741824;         1;         8;        0
      double;  423.90686; 1130.41830;    0.94986;    402653184;   1073741824;         1;         8;        1
      double;  703.47788; 1125.56462;    0.95396;    671088640;   1073741824;         1;         8;        2
      double;  977.10756; 1116.69435;    0.96154;    939524096;   1073741824;         1;         8;        3
      double; 1270.35106; 1129.20094;    0.95089;   1207959552;   1073741824;         1;         8;        4
      double; 1543.34404; 1122.43203;    0.95662;   1476395008;   1073741824;         1;         8;        5
      double; 1831.40153; 1127.01633;    0.95273;   1744830464;   1073741824;         1;         8;        6
      double; 2096.48114; 1118.12328;    0.96031;   2013265920;   1073741824;         1;         8;        7
      double; 2368.93900; 1114.79482;    0.96317;   2281701376;   1073741824;         1;         8;        8
      double; 2742.69604; 1154.81938;    0.92979;   2550136832;   1073741824;         1;         8;        9
      double; 2962.23842; 1128.47178;    0.95150;   2818572288;   1073741824;         1;         8;       10
      double; 3192.13890; 1110.30918;    0.96707;   3087007744;   1073741824;         1;         8;       11
      double; 3436.24162; 1099.59732;    0.97649;   3355443200;   1073741824;         1;         8;       12
      double; 4662.64043; 1381.52309;    0.77722;   3623878656;   1073741824;         1;         8;       13
      double; 4853.27884; 1338.83554;    0.80200;   3892314112;   1073741824;         1;         8;       14
      double; 4895.46025; 1263.34458;    0.84992;   4160749568;   1073741824;         1;         8;       15
      double; 4919.67243; 1192.64786;    0.90030;   4429185024;   1073741824;         1;         8;       16
      double; 5035.69684;  822.15459;    1.30601;   6576668672;   1073741824;         1;         8;       24
      double; 5098.55166;  627.51405;    1.71110;   8724152320;   1073741824;         1;         8;       32
      double; 5132.87199;  506.95032;    2.11804;  10871635968;   1073741824;         1;         8;       40
      double; 5154.45731;  425.10988;    2.52580;  13019119616;   1073741824;         1;         8;       48
      double; 5167.51668;  365.84189;    2.93499;  15166603264;   1073741824;         1;         8;       56
      double; 5182.45827;  321.39276;    3.34090;  17314086912;   1073741824;         1;         8;       64
      double; 5991.94283;  186.51962;    5.75672;  34493956096;   1073741824;         1;         8;      128
      double; 9654.98032;  200.62297;    5.35204;  51673825280;   1073741824;         1;         8;      192
      double; 9679.26758;  150.94374;    7.11352;  68853694464;   1073741824;         1;         8;      256
      double; 9693.83507;   75.65920;   14.19182; 137573171200;   1073741824;         1;         8;      512
      double;  186.92528; 1495.40220;    0.71803;    134217728;   1073741824;         4;         8;        0
      double;  560.61592; 1494.97579;    0.71823;    402653184;   1073741824;         4;         8;        1
      double;  934.35987; 1494.97579;    0.71823;    671088640;   1073741824;         4;         8;        2
      double; 1306.98577; 1493.69803;    0.71885;    939524096;   1073741824;         4;         8;        3
      double; 1679.93166; 1493.27259;    0.71905;   1207959552;   1073741824;         4;         8;        4
      double; 2056.17803; 1495.40220;    0.71803;   1476395008;   1073741824;         4;         8;        5
      double; 2426.56796; 1493.27259;    0.71905;   1744830464;   1073741824;         4;         8;        6
      double; 2796.69987; 1491.57326;    0.71987;   2013265920;   1073741824;         4;         8;        7
      double; 3170.49518; 1491.99773;    0.71967;   2281701376;   1073741824;         4;         8;        8
      double; 3543.49461; 1491.99773;    0.71967;   2550136832;   1073741824;         4;         8;        9
      double; 3916.49404; 1491.99773;    0.71967;   2818572288;   1073741824;         4;         8;       10
      double; 4280.96559; 1489.03151;    0.72110;   3087007744;   1073741824;         4;         8;       11
      double; 4657.19157; 1490.30130;    0.72049;   3355443200;   1073741824;         4;         8;       12
      double; 5026.90905; 1489.45453;    0.72090;   3623878656;   1073741824;         4;         8;       13
      double; 5394.67492; 1488.18618;    0.72151;   3892314112;   1073741824;         4;         8;       14
      double; 5748.77181; 1483.55401;    0.72376;   4160749568;   1073741824;         4;         8;       15
      double; 6131.80593; 1486.49841;    0.72233;   4429185024;   1073741824;         4;         8;       16
      double; 9017.87126; 1472.30551;    0.72929;   6576668672;   1073741824;         4;         8;       24
      double; 9300.96080; 1144.73364;    0.93798;   8724152320;   1073741824;         4;         8;       32
      double; 9383.80060;  926.79512;    1.15855;  10871635968;   1073741824;         4;         8;       40
      double; 9434.53832;  778.10625;    1.37994;  13019119616;   1073741824;         4;         8;       48
      double; 9474.88212;  670.78811;    1.60072;  15166603264;   1073741824;         4;         8;       56
      double; 9504.37752;  589.41876;    1.82170;  17314086912;   1073741824;         4;         8;       64
      double; 9610.15201;  299.14870;    3.58932;  34493956096;   1073741824;         4;         8;      128
      double; 9647.96597;  200.47722;    5.35593;  51673825280;   1073741824;         4;         8;      192
      double; 9554.92774;  149.00472;    7.20609;  68853694464;   1073741824;         4;         8;      256
      double; 9628.25371;   75.14735;   14.28849; 137573171200;   1073741824;         4;         8;      512
 Ac<1, d, d>;  187.45995; 1499.67960;    0.71598;    134217728;   1073741824;         1;         8;        0
 Ac<1, d, d>;  562.54076; 1500.10870;    0.71578;    402653184;   1073741824;         1;         8;        1
 Ac<1, d, d>;  936.76387; 1498.82219;    0.71639;    671088640;   1073741824;         1;         8;        2
 Ac<1, d, d>; 1311.09460; 1498.39383;    0.71660;    939524096;   1073741824;         1;         8;        3
 Ac<1, d, d>; 1686.17500; 1498.82222;    0.71639;   1207959552;   1073741824;         1;         8;        4
 Ac<1, d, d>; 2060.88048; 1498.82217;    0.71639;   1476395008;   1073741824;         1;         8;        5
 Ac<1, d, d>; 2434.19433; 1497.96574;    0.71680;   1744830464;   1073741824;         1;         8;        6
 Ac<1, d, d>; 2806.28041; 1496.68289;    0.71741;   2013265920;   1073741824;         1;         8;        7
 Ac<1, d, d>; 3179.54346; 1496.25575;    0.71762;   2281701376;   1073741824;         1;         8;        8
 Ac<1, d, d>; 3551.58023; 1495.40220;    0.71803;   2550136832;   1073741824;         1;         8;        9
 Ac<1, d, d>; 3927.67134; 1496.25575;    0.71762;   2818572288;   1073741824;         1;         8;       10
 Ac<1, d, d>; 4301.73528; 1496.25575;    0.71762;   3087007744;   1073741824;         1;         8;       11
 Ac<1, d, d>; 4670.46759; 1494.54963;    0.71844;   3355443200;   1073741824;         1;         8;       12
 Ac<1, d, d>; 5038.35996; 1492.84739;    0.71926;   3623878656;   1073741824;         1;         8;       13
 Ac<1, d, d>; 5413.11314; 1493.27259;    0.71905;   3892314112;   1073741824;         1;         8;       14
 Ac<1, d, d>; 5779.84639; 1491.57326;    0.71987;   4160749568;   1073741824;         1;         8;       15
 Ac<1, d, d>; 6159.74943; 1493.27259;    0.71905;   4429185024;   1073741824;         1;         8;       16
 Ac<1, d, d>; 9107.38495; 1486.91999;    0.72212;   6576668672;   1073741824;         1;         8;       24
 Ac<1, d, d>; 9354.06227; 1151.26920;    0.93266;   8724152320;   1073741824;         1;         8;       32
 Ac<1, d, d>; 9415.42415;  929.91843;    1.15466;  10871635968;   1073741824;         1;         8;       40
 Ac<1, d, d>; 9458.40209;  780.07440;    1.37646;  13019119616;   1073741824;         1;         8;       48
 Ac<1, d, d>; 9488.23567;  671.73350;    1.59846;  15166603264;   1073741824;         1;         8;       56
 Ac<1, d, d>; 9514.00390;  590.01575;    1.81985;  17314086912;   1073741824;         1;         8;       64
 Ac<1, d, d>; 9615.08961;  299.30240;    3.58748;  34493956096;   1073741824;         1;         8;      128
 Ac<1, d, d>; 9649.07278;  200.50021;    5.35532;  51673825280;   1073741824;         1;         8;      192
 Ac<1, d, d>; 9652.31201;  150.52338;    7.13339;  68853694464;   1073741824;         1;         8;      256
 Ac<1, d, d>; 9682.65680;   75.57196;   14.20820; 137573171200;   1073741824;         1;         8;      512
 Ac<1, d, d>;  186.97861; 1495.82885;    0.71782;    134217728;   1073741824;         4;         8;        0
 Ac<1, d, d>;  560.77583; 1495.40220;    0.71803;    402653184;   1073741824;         4;         8;        1
 Ac<1, d, d>;  934.35987; 1494.97579;    0.71823;    671088640;   1073741824;         4;         8;        2
 Ac<1, d, d>; 1308.47693; 1495.40220;    0.71803;    939524096;   1073741824;         4;         8;        3
 Ac<1, d, d>; 1680.88917; 1494.12371;    0.71864;   1207959552;   1073741824;         4;         8;        4
 Ac<1, d, d>; 2052.66517; 1492.84739;    0.71926;   1476395008;   1073741824;         4;         8;        5
 Ac<1, d, d>; 2424.49631; 1491.99773;    0.71967;   1744830464;   1073741824;         4;         8;        6
 Ac<1, d, d>; 2799.08886; 1492.84739;    0.71926;   2013265920;   1073741824;         4;         8;        7
 Ac<1, d, d>; 3169.59318; 1491.57326;    0.71987;   2281701376;   1073741824;         4;         8;        8
 Ac<1, d, d>; 3535.44573; 1488.60873;    0.72131;   2550136832;   1073741824;         4;         8;        9
 Ac<1, d, d>; 3915.37981; 1491.57326;    0.71987;   2818572288;   1073741824;         4;         8;       10
 Ac<1, d, d>; 4282.18178; 1489.45453;    0.72090;   3087007744;   1073741824;         4;         8;       11
 Ac<1, d, d>; 4658.51577; 1490.72505;    0.72028;   3355443200;   1073741824;         4;         8;       12
 Ac<1, d, d>; 5024.05445; 1488.60873;    0.72131;   3623878656;   1073741824;         4;         8;       13
 Ac<1, d, d>; 5391.61408; 1487.34182;    0.72192;   3892314112;   1073741824;         4;         8;       14
 Ac<1, d, d>; 5758.54861; 1486.07706;    0.72253;   4160749568;   1073741824;         4;         8;       15
 Ac<1, d, d>; 6128.33091; 1485.65598;    0.72274;   4429185024;   1073741824;         4;         8;       16
 Ac<1, d, d>; 9012.80927; 1471.47906;    0.72970;   6576668672;   1073741824;         4;         8;       24
 Ac<1, d, d>; 9298.93045; 1144.48375;    0.93819;   8724152320;   1073741824;         4;         8;       32
 Ac<1, d, d>; 9378.82681;  926.30388;    1.15917;  10871635968;   1073741824;         4;         8;       40
 Ac<1, d, d>; 9430.33956;  777.75996;    1.38056;  13019119616;   1073741824;         4;         8;       48
 Ac<1, d, d>; 9473.67002;  670.70230;    1.60092;  15166603264;   1073741824;         4;         8;       56
 Ac<1, d, d>; 9505.44615;  589.48503;    1.82149;  17314086912;   1073741824;         4;         8;       64
 Ac<1, d, d>; 9611.79731;  299.19992;    3.58871;  34493956096;   1073741824;         4;         8;      128
